"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ARRVZJIY","conferencePaper","2023","Alby, Tom","Popular, but hardly used: Has Google Analytics been to the detriment of Web Analytics?","Proceedings of the 15th ACM Web Science Conference 2023","9798400700897","","10.1145/3578503.3583601","https://doi.org/10.1145/3578503.3583601","Since 2005, Google has been offering a free version of Google Analytics, allowing website owners to access detailed user behavior data. However, while more and more features and tools have been added to the Google measurement suite since then, it is unclear if the free availability of these tools has really helped users to derive actionable insights for their websites. Earlier studies based on a small number of interviews have suggested that users tend to play with the tools as they lack data literacy, but a broader analysis has been missing by now. Our contribution is a large-scale study of Google Analytics implementations to examine what advanced features are used, allowing conclusions to be drawn about the webmasters’ analysis capabilities. In addition, we detail how difficult it has become to conduct such a study due to the arrangements that website owners have to put in place to comply with the GDPR requirements, but also due to the possibility of obfuscation with the latest development of web analytics software.","2023","2024-10-25 09:42:13","2024-10-25 09:42:13","","304–311","","","","","","","WebSci '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Austin, TX, USA","","","","web analytics; data literacy; digital analytics; gdpr; google analytics; web privacy measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGED7RMK","conferencePaper","2020","Hashmi, Saad Sajid; Ikram, Muhammad; Smith, Stephen","On optimization of ad-blocking lists for mobile devices","Proceedings of the 16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services","978-1-4503-7283-1","","10.1145/3360774.3360830","https://doi.org/10.1145/3360774.3360830","Online advertisements and third-party web tracking has gained much attention in recent years. Advertisers gather as much data and information about the users to provide targeted advertisement. Though this leads to a better user experience, it comes at the cost of privacy intrusive tracking. To this end, ad-blocking lists (or filter-lists, blacklists) have been introduced which prevent third-party tracking. Ad-blocking lists operate in a crowd-sourced manner, where new tracking domains (or rules) are continuously added by privacy activists and the redundant domains are discarded from the filter-list. Over time, the number of rules added outgrow the number of rules omitted, making it hard to manage the filter-lists. We empirically observe that the filter-lists mostly detect different ad and tracking domains. The filter-lists also use less than 1% of their rules on Alexa top 5,000 websites. This suggests the need to curate optimized filter-lists that provide high coverage and require less time to scan for a given domain on mobile devices. We develop an aggregated and filtered blacklist that is more than 150 times less bulky, and provides the same coverage as the union of the blacklists on Alexa top 5,000 websites. We also develop an update mechanism to incorporate new ad and tracking domains in the aggregated and filtered blacklist in a resource efficient manner.","2020","2024-10-25 09:42:13","2024-10-25 09:42:13","","220–227","","","","","","","MobiQuitous '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Houston, Texas, USA","","","","adblocking; blacklists; coverage; efficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2W9HA3CF","conferencePaper","2021","Dao, Ha; Fukuda, Kensuke","Alternative to third-party cookies: investigating persistent PII leakage-based web tracking","Proceedings of the 17th International Conference on Emerging Networking EXperiments and Technologies","978-1-4503-9098-9","","10.1145/3485983.3494860","https://doi.org/10.1145/3485983.3494860","Many popular websites give users the ability to sign up for their services, which requires personally identifiable information (PII). However, these websites embed third-party tracking and advertising resources, and as a consequence, the authentication flow can intentionally or unintentionally leak PII to these services. Since a user can be identified with PII, trackers can use it for tracking purposes, leading to further privacy leaks when cross-site, cross-browser, and cross-device tracking occur.In this paper, we document a persistent web tracking mechanism that relies on manipulating PII leakage after a user completes the sign-up and sign-in flow (authentication flows) on first-party sites. To the best of our knowledge, this is the first in-depth analysis of leaked PII in the authentication flows. By investigating the authentication flows for 307 popular shopping sites from the Tranco top 10,000 sites, we first discover that 42.3% of sites leak the PII to third-party services. Then, we present a previously unknown persistent web tracking technique based on PII leakage that enables tracking providers to generate and store a unique persistent identifier for a user with his/her browsing history on their tracking servers. By analyzing 130 first-party senders along with 100 third-party receiver domains, we show that PII leakage is a potentially important vector for online tracking for at least 20 providers. In addition, we check the privacy policy of the 130 first-party senders and observe that they are not clear about PII exchange with third parties. Finally, to provide a wider picture of current in-browser privacy protection techniques, we evaluate the effect of browsers and well-known blocklists against PII leakage. We point out that browsers are unable to deal with PII leakage except for Brave with its privacy-improving features, whereas blocklists reduce the number of leaked PII resources but do not fix this problem in general.","2021","2024-10-25 09:42:13","2024-10-25 09:42:13","","223–229","","","","","","","CoNEXT '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Germany","","","","privacy; persistent web tracking; PII; PII leakage; transparency; web measurements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CER3MYGA","conferencePaper","2021","Smith, Michael; Snyder, Pete; Livshits, Benjamin; Stefan, Deian","SugarCoat: Programmatically Generating Privacy-Preserving, Web-Compatible Resource Replacements for Content Blocking","Proceedings of the 2021 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-8454-4","","10.1145/3460120.3484578","https://doi.org/10.1145/3460120.3484578","Content blocking systems today exempt thousands of privacy-harming scripts. They do this because blocking these scripts breaks the Web sites that rely on them. In this paper, we address this privacy/functionality trade-off with SugarCoat, a tool that allows filter list authors to automatically patch JavaScript scripts to restrict their access to sensitive data according to a custom privacy policy. We designed SugarCoat to generate resource replacements compatible with existing content blocking tools, including uBlock Origin and the Brave Browser, and evaluate our implementation by automatically replacing scripts exempted by the 6,000+ exception rules in the popular EasyList, EasyPrivacy, and uBlock Origin filter lists. Crawling a sample of pages from the Alexa 10k, we find that SugarCoat preserves the functionality of existing pages-our replacements result in Web-compatibility properties similar to exempting scripts-while providing privacy properties most similar to blocking those scripts. SugarCoat is intended for real-world practical deployment, to protect Web users from privacy harms current tools are unable to protect against. Our design choices emphasize compatibility with existing tools, policy flexibility, and extensibility. SugarCoat is open source and is being integrated into Brave's content blocking tools: an initial set of SugarCoat-generated resource replacements are already shipping to users in the Brave Browser.","2021","2024-10-25 09:42:13","2024-10-25 09:42:13","","2844–2857","","","","","","","CCS '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Republic of Korea","","","","web privacy; content blocking; web compatibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BF5L8ZF2","conferencePaper","2022","Singh, Ashutosh Kumar; Upadhyaya, Nisarg; Seth, Arka; Hu, Xuehui; Sastry, Nishanth; Mondal, Mainack","What Cookie Consent Notices Do Users Prefer: A Study In The Wild","Proceedings of the 2022 European Symposium on Usable Security","978-1-4503-9700-1","","10.1145/3549015.3555675","https://doi.org/10.1145/3549015.3555675","Laws like GDPR in the EU mandated all websites operating in their jurisdiction to obtain users’ informed consent before tracking those users and collecting their data. Today, this is achieved by showing users cookie consent notices. These notices are ubiquitous (often permeating the geographical boundaries of GDPR enforcement), even though their exact user interface (UI) designs vary. These designs are provided by Consent Management Platforms (CMPs) to different websites, effectively resulting in a handful of cookie consent notice designs being shown to a majority of internet users. Naturally, not all designs are uniformly liked by the users. Thus the first step of improving cookie consent notice UI design and moving to a better consent mechanism is to understand whether users prefer one design over another in the wild and why. To answer these questions, in this work, we conduct an in the wild comparative survey with 98 participants where 64.3% of the participants were from the EU (i.e., GDPR is applicable), and the rest were self-reported to be located outside of the EU. In this within-subjects study, our participants ranked five different popular cookie consent UI designs (leveraged by CMPs used in Alexa UK Top500 websites) and gave rationale for their choices. Our analysis found that the slider design is statistically significantly better ranked (and thus most liked) than all other designs. Our further qualitative analysis identifies and unpacks five key design factors which impacted our participants’ liking/disliking of consent notice UI designs (as captured by the ranks given to these designs by our participants) – ease of use, amount of information, customisability, decision-making time, and clarity/transparency. We conclude this work by discussing the implications of our findings on future cookie consent notice UI designs.","2022","2024-10-25 09:42:13","2024-10-25 09:42:13","","28–39","","","","","","","EuroUSEC '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Karlsruhe, Germany","","","","web tracking; cookie banners; cookie categorisation; interface design; third-party cookies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97SI3CJG","conferencePaper","2022","Jueckstock, Jordan; Snyder, Peter; Sarker, Shaown; Kapravelos, Alexandros; Livshits, Benjamin","Measuring the Privacy vs. Compatibility Trade-off in Preventing Third-Party Stateful Tracking","Proceedings of the ACM Web Conference 2022","978-1-4503-9096-5","","10.1145/3485447.3512231","https://doi.org/10.1145/3485447.3512231","Despite active privacy research on sophisticated web tracking techniques (e.g., fingerprinting, cache collusion, bounce tracking, CNAME cloaking), most tracking on the web is basic “stateful” tracking enabled by classical browser storage policies sharing per-site storage across all HTTP contexts. Alternative, privacy-preserving storage policies, especially for third-party contexts, have been proposed and even deployed, but these can break websites that presume traditional, non-partitioned storage. Such breakage discourages privacy-preserving experimentation, cementing the dismal status quo. Our work measures the privacy vs. compatibility trade-offs of representative third-party storage policies to enable design of browsers that are both compatible and privacy respecting. Our contributions include web-scale measurements of page behaviors under multiple third-party storage policies inspired by production browsers. We define metrics for measuring aggregate effects on web privacy and compatibility, including a novel system for quantitatively estimating aggregate website breakage under different policies. We find that making third-party storage partitioned by first-party, and lifetimes by site-session achieves the best privacy and compatibility trade-off. We provide complete measurement datasets and storage policy implementations.","2022","2024-10-25 09:42:13","2024-10-25 09:42:13","","710–720","","","","","","","WWW '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Lyon, France","","","","privacy; measurement; tracking; cookies; crawling; breakage; browsers; compatibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8JQ845K","conferencePaper","2017","Sinha, Atanu R.; Macha, Meghanath; Maneriker, Pranav; Khosla, Sopan; Samdariya, Avani; Singh, Navjot","Anti-Ad Blocking Strategy: Measuring its True Impact","Proceedings of the ADKDD'17","978-1-4503-5194-2","","10.1145/3124749.3124756","https://doi.org/10.1145/3124749.3124756","The increasing use of ad blocking software poses a major threat for publishers in loss of online ad revenue, and for advertisers in the loss of audience. Major publishers have adopted various anti-ad blocking strategies such as denial of access to website content and asking users to subscribe to paid ad-free versions. However, publishers are unsure about the true impact of these strategies [2, 3]. We posit that the real problem lies in the measurement of effectiveness because the existing methods compare metrics after implementation of such strategies with that of metrics just before implementation, making them error prone due to sampling bias. The errors arise due to differences in group compositions across before and after periods, as well as differences in time-period selection for the before measurement. We propose a novel algorithmic method which modifies the difference-in-differences approach to address the sampling bias due to differences in time-period selection. Unlike difference-in-differences, we choose the time-period for comparison in an endogenous manner, as well as, exploit differences in ad blocking tendencies among visitors' arriving on the publisher's site to allow cluster specific choice of the control time-period. We evaluate the method on both synthetic data (which we make available) and proprietary real data from an online publisher and find good support.","2017","2024-10-25 09:42:13","2024-10-25 09:42:13","","","","","","","","","ADKDD'17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Halifax, NS, Canada","","","","Anti-Ad blocking; Difference in Differences; Endogenous Control Group Selection; User Modelling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76GP38X8","conferencePaper","2014","yu, Jiangmin; Chan-Tin, Eric","Identifying Webbrowsers in Encrypted Communications","Proceedings of the 13th Workshop on Privacy in the Electronic Society","978-1-4503-3148-7","","10.1145/2665943.2665968","https://doi.org/10.1145/2665943.2665968","Webbrowser fingerprinting is a powerful tool to identify an Internet end-user. Previous research has shown that the information extracted from webbrowsers can uniquely identify an end-user. To collect webbrowser specific information, intentional JavaScript codes are embedded in web pages. In this paper, we show that fingerprinting characteristics of a webbrowser can also be collected by solely checking the network traffic data generated when browsing a website. We collect network traffic data generated by browsing the homepage of the most popular websites. Based on this data, we show that the browser fingerprinting characteristics can be inferred with high accuracy. Among these characteristics, type of webbrowser can be identified with over 70% accuracy rate. Usage status of popular plug-ins like JavaScript and flash can also be accurately identified.","2014","2024-10-25 09:42:13","2024-10-25 09:42:13","","135–138","","","","","","","WPES '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Scottsdale, Arizona, USA","","","","privacy; anonymity; webbrowsers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34WQAYYX","conferencePaper","2021","Hu, Xuehui; Sastry, Nishanth; Mondal, Mainack","CCCC: Corralling Cookies into Categories with CookieMonster","Proceedings of the 13th ACM Web Science Conference 2021","978-1-4503-8330-1","","10.1145/3447535.3462509","https://doi.org/10.1145/3447535.3462509","Browser cookies are ubiquitous in the web ecosystem today. Although these cookies were initially introduced to preserve user-specific state in browsers, they have now been used for numerous other purposes, including user profiling and tracking across multiple websites. This paper sets out to understand and quantify the different uses for cookies, and in particular, the extent to which targeting and advertising, performance analytics and other uses which only serve the website and not the user add to overall cookie volumes. We start with 31 million cookies collected in Cookiepedia, which is currently the most comprehensive database of cookies on the Web. Cookiepedia provides a useful four-part categorisation of cookies into strictly necessary, performance, functionality and targeting/advertising cookies, as suggested by the UK International Chamber of Commerce. Unfortunately, we found that, Cookiepedia data can categorise less than 22% of the cookies used by Alexa Top20K websites and less than 15% of the cookies set in the browsers of a set of real users. These results point to an acute problem with the coverage of current cookie categorisation techniques. Consequently, we developed CookieMonster, a novel machine learning-driven framework which can categorise a cookie into one of the aforementioned four categories with more than 94% F1 score and less than 1.5 ms latency. We demonstrate the utility of our framework by classifying cookies in the wild. Our investigation revealed that in Alexa Top20K websites necessary and functional cookies constitute only 13.05% and 9.52% of all cookies respectively. We also apply our framework to quantify the effectiveness of tracking countermeasures such as privacy legislation and ad blockers. Our results identify a way to significantly improve coverage of cookies classification today as well as identify new patterns in the usage of cookies in the wild.","2021","2024-10-25 09:42:13","2024-10-25 09:42:13","","234–242","","","","","","","WebSci '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, United Kingdom","","","","Cookie Categorisation; Third-Party Cookie; Web tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUS9R63Z","conferencePaper","2021","Andriamilanto, Nampoina; Allard, Tristan","BrFAST: a Tool to Select Browser Fingerprinting Attributes for Web Authentication According to a Usability-Security Trade-off","Companion Proceedings of the Web Conference 2021","978-1-4503-8313-4","","10.1145/3442442.3458610","https://doi.org/10.1145/3442442.3458610","In this demonstration, we put ourselves in the place of a website manager who seeks to use browser fingerprinting for web authentication. The first step is to choose the attributes to implement among the hundreds that are available. To do so, we developed BrFAST, an attribute selection platform that includes FPSelect, an algorithm that rigorously selects the attributes according to a trade-off between security and usability. BrFAST is configured with a set of parameters for which we provide values for BrFAST to be usable as is. We notably include the resources to use two publicly available browser fingerprint datasets. BrFAST can be extended to use other parameters: other attribute selection methods, other measures of security and usability, or other fingerprint datasets. BrFAST helps visualize the exploration of the possibilities during the search of the best attribute set to use, evaluate the properties of attribute sets, and compare several attribute selection methods. During the demonstration, we compare the attribute sets selected by FPSelect with those selected by the usual methods according to the properties of the resulting browser fingerprints (e.g., their usability, their unicity).","2021","2024-10-25 09:42:14","2024-10-25 09:42:14","","701–704","","","","","","","WWW '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Ljubljana, Slovenia","","","","browser fingerprinting; web authentication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUFHVCJF","conferencePaper","2015","Aleyasen, Amirhossein; Starov, Oleksii; Au, Alyssa Phung; Schiffman, Allan; Shrager, Jeff","On the Privacy Practices of Just Plain Sites","Proceedings of the 14th ACM Workshop on Privacy in the Electronic Society","978-1-4503-3820-2","","10.1145/2808138.2808140","https://doi.org/10.1145/2808138.2808140","In addition to visiting popular sites such as Facebook and Google, web users often visit more modest sites, such as those operated by bloggers, or by local organizations such as schools. Such sites, which we call ""Just Plain Sites"" (JPSs), are likely to inadvertently present greater privacy risks than highly popular sites, because they are unable to afford privacy expertise. To assess the prevalence of the privacy risks to which JPSs may inadvertently be exposing their visitors, we examined privacy practices that could be observed by analysis of JPS landing pages. We found that many JPSs collect a great deal of information from their visitors, and share a great deal of information about their visitors with third parties. For example, we found that an average of 7 third party organizations are informed when a user visits a JPS. Many JPSs additionally permit a great deal of tracking of their visitors. For example, we found that third party cookies are used by more than 50% of JPSs. We also found that many JPSs use deprecated or unsafe security practices. Our goal is not to scold JPS operators, but to raise awareness of these facts among both JPS operators and visitors, possibly encouraging operators to take greater care in their implementations, and visitors to take greater care in how, when, and what they share.","2015","2024-10-25 09:42:14","2024-10-25 09:42:14","","1–10","","","","","","","WPES '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Denver, Colorado, USA","","","","web privacy; facebook login; information leakage; just plain sites; third party organizations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6HHC53L","conferencePaper","2014","Ikram, Muhammad; Asghar, Hassan; Kaafar, Mohamed Ali; Mahanti, Anirban","On the Intrusiveness of JavaScript on the Web","Proceedings of the 2014 CoNEXT on Student Workshop","978-1-4503-3282-8","","10.1145/2680821.2680837","https://doi.org/10.1145/2680821.2680837","Various web components and JavaScripts have been used for collecting personal identifiable information resulting in privacy concerns. Although several privacy preserving tools have been proposed to limit online advertising and tracking their use has been limited and mostly limited to tech-savvy audience. In addition to poor and manual filtering-list maintenance and confusing settings, these privacy preserving tools have, arguably, usability and intrusiveness issues. Among others, their brute-force blockage of all JavaScripts on a website, may result in broken functionalities thus effecting user's web-experience. In this work, we propose a framework to quantify the intrusiveness of JavaScripts with ultimate objective of measuring the usability of privacy preserving tools. We postulate that intrusive JavaScripts carry distinct characteristics that could be used to differentiate them from functional JavaScripts i.e., scripts that are genuinely used for enhancing the user's web experience. We propose a measurement methodology that can automatically separate tracking and privacy intrusive JavaScripts from the functional JavaScripts. Our methodology assumes only partial knowledge of the privacy intrusive JavaScripts.","2014","2024-10-25 09:42:14","2024-10-25 09:42:14","","31–33","","","","","","","CoNEXT Student Workshop '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sydney, Australia","","","","privacy; javascript; security; web-tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99VDUFXI","conferencePaper","2022","Berke, Alex; Calacci, Dan","Privacy Limitations of Interest-based Advertising on The Web: A Post-mortem Empirical Analysis of Google's FLoC","Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-9450-5","","10.1145/3548606.3560626","https://doi.org/10.1145/3548606.3560626","In 2020, Google announced it would disable third-party cookies in the Chrome browser to improve user privacy. In order to continue to enable interest-based advertising while mitigating risks of individualized user tracking, Google proposed FLoC. The FLoC algorithm assigns users to ""cohorts"" that represent groups of users with similar browsing behaviors so that ads can be served to users based on their cohort. In 2022, after testing FLoC in a real world trial, Google canceled the proposal with little explanation in favor of another way to enable interest-based advertising. This work provides a post-mortem analysis of two critical privacy risks for FloC by applying an implementation of FLoC to a real-world browsing history dataset collected from over 90,000 U.S. devices over a one year period.First, we show how, contrary to its privacy goals, FLoC would have enabled individualized cross-site user tracking by providing a unique identifier for users available across sites, similar to the third-party cookies FLoC was meant to be an improvement over. We show how FLoC cohort ID sequences observed over time can provide this unique identifier to trackers, even with third-party cookies disabled. We estimate the number of users in our dataset that could be uniquely identified by FLoC IDs is more than 50% after 3 weeks and more than 95% after 4 weeks. We also show how these risks increase when cohort data are combined with browser fingerprinting, and how our results are conservative underestimates of the risks FLoC would have posed in a real-world deployment. Second, we examine the risk of FLoC leaking sensitive demographic information about users. Although we find statistically significant differences in browsing behaviors between demographic groups, we do not find that FLoC significantly risks exposing race or income information about users in our dataset. Our contributions provide insights and example analyses for future novel approaches that seek to protect user privacy while monetizing the web.","2022","2024-10-25 09:42:14","2024-10-25 09:42:14","","337–349","","","","","","","CCS '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Los Angeles, CA, USA","","","","privacy; data analysis; web advertising","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UWXSBFI2","conferencePaper","2021","Fietkau, Julian; Thimmaraju, Kashyap; Kybranz, Felix; Neef, Sebastian; Seifert, Jean-Pierre","The Elephant in the Background: A Quantitative Approachto Empower Users Against Web Browser Fingerprinting","Proceedings of the 20th Workshop on Workshop on Privacy in the Electronic Society","978-1-4503-8527-5","","10.1145/3463676.3485599","https://doi.org/10.1145/3463676.3485599","Tracking users is a ubiquitous practice on the web today. User activity is recorded and analyzed on a large scale to create personalized products, forecast future behavior, and prevent online fraud. While HTTP cookies have been the weapon of choice so far, new and more pervasive techniques such as browser fingerprinting are gaining traction. This paper describes how users can be empowered against fingerprinting by showing them when, how, and who is tracking them. To this end, we conduct a systematic analysis of various fingerprinting tools to create FPMON: a browser extension to measure and rate fingerprinting activity on any website in real-time. With FPMON, we evaluate the 10k most popular websites to i) study the pervasiveness of fingerprinting; ii) review the latest countermeasures; and iii) identify the networks that foster the use of fingerprinting. Our evaluations reveal that i) fingerprinters subvert privacy regulations; ii) they are present on privacy-sensitive websites (insurance, finances, NGOs); and iii) current countermeasures cannot sufficiently protect users. Hence, we publish FPMON as a free browser extension to empower users against this growing threat.","2021","2024-10-25 09:42:14","2024-10-25 09:42:14","","167–180","","","","","","","WPES '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Republic of Korea","","","","browser fingerprinting; web privacy; online tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2UR5XEY","conferencePaper","2023","Su, Junhua; Kapravelos, Alexandros","Automatic Discovery of Emerging Browser Fingerprinting Techniques","Proceedings of the ACM Web Conference 2023","978-1-4503-9416-1","","10.1145/3543507.3583333","https://doi.org/10.1145/3543507.3583333","With the progression of modern browsers, online tracking has become the most concerning issue for preserving privacy on the web. As major browser vendors plan to or already ban third-party cookies, trackers have to shift towards browser fingerprinting by incorporating novel browser APIs into their tracking arsenal. Understanding how new browser APIs are abused in browser fingerprinting techniques is a significant step toward ensuring protection from online tracking. In this paper, we propose a novel hybrid system, named BFAD, that automatically identifies previously unknown browser fingerprinting APIs in the wild. The system combines dynamic and static analysis to accurately reveal browser API usage and automatically infer browser fingerprinting behavior. Based on the observation that a browser fingerprint is constructed by pulling information from multiple APIs, we leverage dynamic analysis and a locality-based algorithm to discover all involved APIs and static analysis on the dataflow of fingerprinting information to accurately associate them together. Our system discovers 231 fingerprinting APIs in Alexa top 10K domains, starting with only 35 commonly known fingerprinting APIs and 17 data transmission APIs. Out of 231 APIs, 161 of them are not identified by state-of-the-art detection systems. Since our approach is fully automated, we repeat our experiments 11 months later and discover 18 new fingerprinting APIs that were not discovered in our previous experiment. We present with case studies the fingerprinting ability of a total of 249 detected APIs.","2023","2024-10-25 09:42:14","2024-10-25 09:42:14","","2178–2188","","","","","","","WWW '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Austin, TX, USA","","","","Privacy; Browser Fingerprinting; Online Tracking; Program Analysis; Web Measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARGM7DZP","conferencePaper","2019","Jakobi, Timo; Stevens, Gunnar; Seufert, Anna-Magdalena; Becker, Max","Webtracking under the New Data Protection Law: Design Potentials at the Intersection of Jurisprudence and HCI","Proceedings of Mensch Und Computer 2019","978-1-4503-7198-8","","10.1145/3340764.3340790","https://doi.org/10.1145/3340764.3340790","The GDPR regulates at present the handling with personal data fundamentally new and thereby opens new leeway. At the same time, it creates great uncertainty among those affected. One example of this is web trackers that help designers to improve the utility and usability of their websites on the basis of, in part, extensive (personal) data collection, or enable operators to finance them. Against this background, in this article we first show the practical relevance of web tracking by collecting the web trackers of the 100 most popular pages of each of the 28 EU member states. Building on this, we show which data these trackers collect and analyze their legal bases. Finally, we discuss possible design and architectural consequences for fulfilling the legally outlined requirements, taking into account the user's perspective.","2019","2024-10-25 09:42:14","2024-10-25 09:42:14","","309–319","","","","","","","MuC '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Hamburg, Germany","","","","DSGVO; HCI; Privatsphäre; Web-Tracking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7F5WA3VN","conferencePaper","2022","Dimova, Yana; Franken, Gertjan; Le Pochat, Victor; Joosen, Wouter; Desmet, Lieven","Tracking the Evolution of Cookie-based Tracking on Facebook","Proceedings of the 21st Workshop on Privacy in the Electronic Society","978-1-4503-9873-2","","10.1145/3559613.3563200","https://doi.org/10.1145/3559613.3563200","We analyze in depth and longitudinally how Facebook's cookie-based tracking behavior and its communication about tracking have evolved from 2015 to 2022. More stringent (enforcement of) regulation appears to have been effective at causing a reduction in identifier cookies for non-users and a more prominent cookie banner. However, several technical measures to reduce Facebook's tracking potential are not implemented, communication through the cookie banner and cookie policies remains incomplete and may be deceptive, and opt-out mechanisms seem to have no effect.","2022","2024-10-25 09:42:14","2024-10-25 09:42:14","","181–196","","","","","","","WPES'22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Los Angeles, CA, USA","","","","web tracking; cookies; online privacy; social network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2EDFV8B","conferencePaper","2023","Zafar, Ahsan; Das, Anupam","Comparative Privacy Analysis of Mobile Browsers","Proceedings of the Thirteenth ACM Conference on Data and Application Security and Privacy","9798400700675","","10.1145/3577923.3583638","https://doi.org/10.1145/3577923.3583638","Online trackers are invasive as they track our digital footprints, many of which are sensitive in nature, and when aggregated over time, they can help infer intricate details about our lifestyles and habits. Although much research has been conducted to understand the effectiveness of existing countermeasures for the desktop platform, little is known about how mobile browsers have evolved to handle online trackers. With mobile devices now generating more web traffic than their desktop counterparts, we fill this research gap through a large-scale comparative analysis of mobile web browsers. We crawl 10K valid websites from the Tranco list on real mobile devices. Our data collection process covers both popular generic browsers (e.g., Chrome, Firefox, and Safari) as well as privacy-focused browsers (e.g., Brave, Duck Duck Go, and Firefox-Focus). We use dynamic analysis of runtime execution traces and static analysis of source codes to highlight the tracking behavior of invasive fingerprinters. We also find evidence of tailored content being served to different browsers. In particular, we note that Firefox Focus sees altered script code, whereas Brave and Duck Duck Go have highly similar content. To test the privacy protection of browsers, we measure the responses of each browser in blocking trackers and advertisers and note the strengths and weaknesses of privacy browsers. To establish ground truth, we use well-known block lists, including EasyList, EasyPrivacy, Disconnect and WhoTracksMe and find that Brave generally blocks the highest number of content that should be blocked as per these lists. Focus performs better against social trackers, and Duck Duck Go restricts third-party trackers that perform email-based tracking.","2023","2024-10-25 09:42:14","2024-10-25 09:42:14","","3–14","","","","","","","CODASPY '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Charlotte, NC, USA","","","","web tracking; user privacy; mobile browsers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
