"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On Web user tracking: How third-party http requests track users' browsing patterns for personalised advertising","S. Puglisi; D. Rebollo-Monedero; J. Forné","Department of Telematics Engineering, Universitat Politècnica de Catalunya (UPC), Barcelona, Spain; Department of Telematics Engineering, Universitat Politècnica de Catalunya (UPC), Barcelona, Spain; Department of Telematics Engineering, Universitat Politècnica de Catalunya (UPC), Barcelona, Spain",2016 Mediterranean Ad Hoc Networking Workshop (Med-Hoc-Net),"4 Aug 2016","2016","","","1","6","On today's Web, users trade access to their private data for content and services. Advertising sustains the business model of many websites and applications. Efficient and successful advertising relies on predicting users' actions and tastes to suggest a range of products to buy. It follows that, while surfing the Web users leave traces regarding their identity in the form of activity patterns and unstructured data. We analyse how advertising networks build user footprints and how the suggested advertising reacts to changes in the user behaviour.","","978-1-5090-1983-0","10.1109/MedHocNet.2016.7528432","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7528432","","Advertising;Browsers;Histograms;Privacy;Web pages;Facebook;Libraries","","4","","23","IEEE","4 Aug 2016","","","IEEE","IEEE Conferences"
"Track me! a web based location tracking and analysis system for smart phone users","M. A. Bayir; M. Demirbas; A. Cosar","Ubiquitous Computing Laboratory Computer Science & Engineering, Suny at Buffalo, Buffalo, NY, USA; Ubiquitous Computing Laboratory Computer Science & Engineering, Suny at Buffalo, Buffalo, NY, USA; Intelligent Data Analysis Group Department of Computer Engineering, Middle East Technical University, Ankara, Turkey",2009 24th International Symposium on Computer and Information Sciences,"23 Oct 2009","2009","","","117","122","Mobility information of cell phone users is very important for wide range of applications, including context-based search and advertising, early warning systems, city-wide sensing applications such as air pollution exposure estimation and traffic planning. With the inclusion of new technologies in the cell phone hardware such as built-in GPS and 802.11 supports, mobility information are easily captured, managed and forwarded to a remote system via opportunistic connections over Internet. However, it is very difficult to use these low level location data for practical applications due to lack of sufficient information including high level location and temporal data. In order to solve this problem, we propose a Web based mobility analysis system which collects location data from cell phone users via opportunistic Internet connections and convert these low level location data to high level mobility information as well as adding a temporal dimension. In our experiments, we have illustrated the benefits of our systems on the reality mining data set which contains 350 K hours of real cell tower connection data.","","978-1-4244-5021-3","10.1109/ISCIS.2009.5291863","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5291863","cellphones;mobility analysis;web based information system","Smart phones;Cellular phones;Internet;Advertising;Alarm systems;Air pollution;Hardware;Global Positioning System;Technology management;Information analysis","","4","3","13","IEEE","23 Oct 2009","","","IEEE","IEEE Conferences"
"Hajji Tracker: Development of Web-Based GPS Tracking System for Pilgrims","M. E. Ul Hossain Khan; N. Anjum; F. Arida; Haque; M. M. Khan","Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh; Department of Electrical and Computer Engineering, North South University, Dhaka, Bangladesh","2021 IEEE 12th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","6 Dec 2021","2021","","","0896","0901","The primary goal of this article is to create a web-based GPS tracking system for tracking and identifying Hajji pilgrims at Saudi Arabia's holy sites. The suggested system includes a GPS device that receives Hajis' current location (latitude and longitude) and transmits it to a database server. The Hajji's position will then appear as a point on the website's Google map. The established method will allow you to keep track of a missing Hajji and track down their location on a frequent basis, allowing you to locate them quickly. Because they do not know any other language than their own tongue, this approach will be extremely valuable to the elderly and young. There are two goals for the suggested system. The initial goal is to create a tracking device that is both adaptable and cost-effective. The second step is to implement the system with the maximum level of location precision possible. The testing demonstrates that the system achieves its goals of being low-cost, accurate, and realtime.","2644-3163","978-1-6654-0066-4","10.1109/IEMCON53756.2021.9623091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9623091","Hajj;GPS;GPRS;GSM;Web-based;Tracking","Tongue;Databases;Conferences;Senior citizens;Mobile communication;Internet;Servers","","3","","20","IEEE","6 Dec 2021","","","IEEE","IEEE Conferences"
"Intelligent assessment tool","R. Ciora; P. Corcoran; B. McDaniel; M. Leyden","DIGITAL Enterprise Research Institue, National University of Ireland, Galway, Ireland; Department of Electrical Engineering, National University of Ireland, Galway, Ireland; DIGITAL Enterprise Research Institue, National University of Ireland, Galway, Ireland; DIGITAL Enterprise Research Institue, National University of Ireland, Galway, Ireland",IET Irish Signals and Systems Conference (ISSC 2008),"10 Feb 2009","2008","","","343","347","Student knowledge assessment is an essential part of the educational cycle. It is the final step of the educational process. We present a novel approach to computer-based knowledge testing. The prototype implementation provides the means of assessment in a context-aware e-learning environment. The demonstration system is an ontology-driven Windows-based monitoring utility, which sits in background and monitors the learner's actions. The student is given a specific task to perform and the computer analyzes the actions that he/she performs and compares them against an action list that needs to be fulfilled for that particular task to be fulfilled. If all the actions arc executed in the necessary order, then we say that the student has successfully completed the task. If the learner Fails to complete a task, he/she will be provided with feedback, specifying the steps where he has failed or he can be provided with a live simulation indicating how he could have accomplished the task successfully.","0537-9989","978-0-86341-931-7","10.1049/cp:20080686","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4780977","assessrnent;ontology;semantic web;tracking","","","","","","","10 Feb 2009","","","IET","IET Conferences"
"Web Browser Fingerprinting Using Only Cascading Style Sheets","N. Takei; T. Saito; K. Takasu; T. Yamada","Dept. Science and Engineering, Graduate School of Meiji University, Kanagawa, Japan; Dept. Science and Engineering, Graduate School of Meiji University, Kanagawa, Japan; Dept. Science and Engineering, Graduate School of Meiji University, Kanagawa, Japan; Dept. Science and Engineering, Graduate School of Meiji University, Kanagawa, Japan","2015 10th International Conference on Broadband and Wireless Computing, Communication and Applications (BWCCA)","3 Mar 2016","2015","","","57","63","Many commercial Websites employ Web browser fingerprinting to track visitors using Hypertext Transfer Protocol (HTTP) headers, JavaScript, and other methods. Although a user can disable JavaScript or utilize a prevention tool to avoid being tracked, countermeasures against Web browser fingerprinting using Cascading Style Sheets (CSS) have not been established. Therefore, in this paper, we propose a method of fingerprinting that employs only CSS and discuss the effectiveness of our method.","","978-1-4673-8315-8","10.1109/BWCCA.2015.105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7424801","Web Browser Fingerprinting;Web Tracking;Cascading Style Sheets","Browsers;Media;Fingerprint recognition;Cascading style sheets;Engines;Rendering (computer graphics);Web servers","","21","","23","IEEE","3 Mar 2016","","","IEEE","IEEE Conferences"
"CIC-AB: Online ad blocker for browsers","A. H. Lashkari; A. Seo; G. D. Gil; A. Ghorbani","Canadian Institute for Cybersecurity (CIC), University of New Brunswick (UNB), Canada; Canadian Institute for Cybersecurity (CIC), University of New Brunswick (UNB), Canada; Canadian Institute for Cybersecurity (CIC), University of New Brunswick (UNB), Canada; Canadian Institute for Cybersecurity (CIC), University of New Brunswick (UNB), Canada",2017 International Carnahan Conference on Security Technology (ICCST),"7 Dec 2017","2017","","","1","7","Online advertisements (ads) have taken over the web, nowedays most websites contain some sort of ads. While ads produce revenue for the server maintainer or to businesses, they have become intrusive and dangerous as ever. The ads use more bandwidth, show inappropriate content, and spread malware such as adware and ransomware. Although there are many products to block ads, also known as ad blockers, most depend on static filter lists that must be managed manually and frequently updated. When malicious advertisers can produce millions of new URLs within minutes, this is not the most effective method against ads. In this paper we propose our own ad blocker, CIC-AB, which uses machine learning techniques to detect new and unknown ads without needing to update a filter list. The proposed ad blocker has been developed as an extension for the common browsers (e.g. Firefox and Chrome). It classifies URLs, both HTTP and HTTPS, as: non-ad, normal-ad and malicious-ad. The analysis showed the average precision, recall and False Positive rate of CIC-AB for five classifiers namely; Naive Bayes (NB), Support Vector Machine (SVM), K-Nearest Neighbour (KNN), Random Forest (RF) and Decision Tree (DT) is 97.16%, 94.96% and 3.38% respectively.","2153-0742","978-1-5386-1585-0","10.1109/CCST.2017.8167846","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8167846","Ad Detection;Ad Characterization;Machine Learning;Ad Fraud","Uniform resource locators;Browsers;Malware;Computer security;Support vector machines;Web pages;Advertising","","17","","36","IEEE","7 Dec 2017","","","IEEE","IEEE Conferences"
"On the Impact of Internal Webpage Selection when Evaluating Ad Blocker Performance","P. Gunnarsson; A. Jakobsson; N. Carlsson","Linköping University, Sweden; Linköping University, Sweden; Linköping University, Sweden","2022 30th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)","3 Mar 2023","2022","","","41","48","Not all ad blockers achieve the same blocking success and, depending on their implementation, they can either improve or hurt the web performance experienced by users. Borgolte and Feamster (2020) recently provided the first extensive evaluation of how privacy-focused browser extensions affect a user's web performance. However, while their work provides a nice comparison of the performance impact that different extensions may have, their evaluation only considered landing pages of a single set of websites. In this paper, we focus specifically on performance comparisons when considering different sets of webpages. For example, we study the impact of whether a page is a landing page or an internal page, whether a page is popular or less popular, as well as the impact of in which country/region the company registering the website is operating (used as a proxy for the primary target market). For our evaluations, we use pairs of webpages carefully selected from the recently proposed Hispar list (Aqeel et al. 2020) and compare the performance of the most popular blocking extensions (Ad block Plus, uBlock Origin, Ghostery, and Private Badger) considered by Borgolte and Feamster with a baseline case in which we do not use any extension. While we observe clear differences in the distribution statistics of the metrics considered, several observations were consistent across all dimensions, including whether we consider landing pages or internal pages. The paper highlights some of these invariants and discusses their implications. In addition, our measurements (and the differences observed by different ad-blockers) also reveal new insights into how internal vs. landing pages of different web page categories (e.g., based on popularity or region) differ in their composition and resource usage.","2375-0227","978-1-6654-5580-0","10.1109/MASCOTS56607.2022.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053726","Ad blockers;Internal pages;Performance","Measurement;Analytical models;Computational modeling;Web pages;Companies;Telecommunications;Task analysis","","1","","32","IEEE","3 Mar 2023","","","IEEE","IEEE Conferences"
"Web Tracking Cartography with DNS Records","J. Su; Z. Li; S. Grumbach; M. Ikram; K. Salamatian; G. Xie","University of Chinese Academy of Sciences, China; Institute of Computing Technology, China; Inria, France; University of Michigan, USA and Macquarie University, Australia; LISTIC, University of Savoie, France; Institute of Computing Technology, China",2018 IEEE 37th International Performance Computing and Communications Conference (IPCCC),"13 May 2019","2018","","","1","8","Web tracking plays a crucial role in the Web ecosystem. It relies on third-party tracking domains collecting user information for various applications such as advertisement and analytics. With the massive growth of the Internet, understanding tracking and its geographical roots is of strategic importance. The goal of this paper is to propose a thorough investigation of web tracking inside China taking advantage of a large dataset (1011 records) containing two days of full DNS access from a major ISP providing both mobile and landline ADSL. Our results show that a power law applies on the traffic of both sites and trackers with a handful of trackers, 26, representing 90% of tracking activity. We then show that although most first-party sites accessed from China are owned by Chinese corporations, large proportion of trackers belong to US ones. This raises concerns about the analytics industry in China, and more generally shed new lights on the international data flows, the interdependency of the main actors, and the complexity of the threats for both people and states.","2374-9628","978-1-5386-6808-5","10.1109/PCCC.2018.8710841","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710841","","IP networks;Servers;Target tracking;Blacklisting;Google;Middleboxes","","2","","39","IEEE","13 May 2019","","","IEEE","IEEE Conferences"
"CNAME Cloaking-Based Tracking on the Web: Characterization, Detection, and Protection","H. Dao; J. Mazel; K. Fukuda","Department of Informatics, School of Multidisciplinary Sciences, Graduate University for Advanced Studies (SOKENDAI), Kanagawa, Japan; Laboratoire Exploration et Recherche en Détection (LED), French National Cybersecurity Agency (ANSSI), Paris, France; Department of Informatics, School of Multidisciplinary Sciences, Graduate University for Advanced Studies (SOKENDAI), Kanagawa, Japan",IEEE Transactions on Network and Service Management,"8 Sep 2021","2021","18","3","3873","3888","Third-party tracking on the Web has been used for collecting and correlating user's browsing behavior. Due to the increasing use of ad-blocking and third-party tracking protections, tracking providers introduced a new technique called CNAME cloaking. It misleads Web browsers into believing that a request for a subdomain of the visited website originates from this particular website, while this subdomain uses a CNAME to resolve to a tracking-related third-party domain. This technique thus circumvents the third-party targeting privacy protections. The goals of this paper are to characterize, detect, and protect the end-user against CNAME cloaking based tracking. Firstly, we characterize CNAME cloaking-based tracking by crawling top pages of the Alexa Top 300,000 sites and analyzing the usage of CNAME cloaking with CNAME blocklist, including websites and tracking providers using this technique to track users' activities. We also point out that browsers and privacy protection extensions are largely ineffective to deal with CNAME cloaking-based tracking except for Firefox with a developer's version of the uBlock Origin extension. Secondly, we propose a supervised machine learning-based approach to detect CNAME cloaking-based tracking without the on-demand DNS lookup. We show that the proposed approach outperforms well-known tracking filter lists. Finally, to circumvent the lack of DNS API in Chrome-based browsers, we design and implement a prototype of the supervised machine learning-based browser extension to detect and filter out CNAME cloaking tracking, called CNAMETracking Uncloaker. Our evaluation shows that CNAMETracking Uncloaker is able to filter out CNAME cloaking-based tracking requests without performance degradation when compared with the vanilla setting on the Chrome browser.","1932-4537","","10.1109/TNSM.2021.3072874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9403411","Privacy;CNAME cloaking-based tracking;third-party tracking;machine learning techniques;counter-measure;browser extension","Browsers;Privacy;Virtual assistants;Target tracking;Machine learning;IP networks;Data collection","","5","","85","IEEE","13 Apr 2021","","","IEEE","IEEE Journals"
"Unsupervised Detection of Web Trackers","H. Metwalley; S. Traverso; M. Mellia","Politecnico di Torino, Italy; Politecnico di Torino, Italy; Politecnico di Torino, Italy",2015 IEEE Global Communications Conference (GLOBECOM),"25 Feb 2016","2015","","","1","6","When browsing, users are consistently tracked by parties whose business builds on the value of collected data. The privacy implications are serious. Consumers and corporates do worry about the information they unknowingly expose to the outside world, and they claim for mechanisms to curb this leakage. Existing countermeasures to web tracking either base on hostname blacklists whose origin is impossible to know and must be continuously updated. This paper presents a novel, unsupervised methodology that leverages application-level traffic logs to automatically detect services running some tracking activity, thus enabling the generation of curated blacklists. The methodology builds on an algorithm that pinpoints pieces of information containing user identifiers exposed in URL queries in HTTP(S) transactions. We validate our algorithm over an artificial dataset obtained by visiting the top 200 most popular websites in the Alexa rank. Results are excellent. Our algorithm identifies 34 new third- party trackers not present in available blacklists. By analyzing the output of our algorithm, some privacy-related interactions emerge. For instance, we observe scenarios clearly hinting to Cookie Matching practice, for which information about users' activity gets shared across several different third-parties.","","978-1-4799-5952-5","10.1109/GLOCOM.2015.7417499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7417499","","Browsers;Algorithm design and analysis;Uniform resource locators;Privacy;Target tracking;Companies","","16","1","20","IEEE","25 Feb 2016","","","IEEE","IEEE Conferences"
"Evaluation of third party tracking on the web","A. Hamed; H. Kaffel-Ben Ayed; M. A. Kaafar; A. Kharraz","CRISTAL Lab., University of Manouba, Tunisia; Faculty of Science of Tunis, University of Tunis El Manar; INRIA, Grenoble, France; Faculty of Science of Tunis, University of Tunis El Manar",8th International Conference for Internet Technology and Secured Transactions (ICITST-2013),"3 Mar 2014","2013","","","471","477","In this paper our goal is to measure the presence of trackers and tracking components in websites to identify their dangerousness to privacy. We propose an intuitive privacy scoring model to quantify the use of tracking techniques and identify how users activities are tracked when they are online. We developeded and distributed a firefox add-on that collects the web browsing history of our volunteers along with the detected tracking components and computes the scores of the visited web page. Using our collected dataset, we examine the tracking capabilities in the wild. Our findings show that while cookies-based tracking is present in almost all websites, independently from the content and from the audience, JavaScripts are also present and can also be a major vector of web tracking. We demonstrate that the trackers dangerousness for the user's privacy should not be measured by the number of components but by their presence through the websites and the domains. Correlation was also found between scores and tracking components which confirms that our intuitive scoring model is realistic.","","978-1-908320-20-9","10.1109/ICITST.2013.6750244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6750244","","Privacy;Facebook;Internet;Google;Web pages;Correlation;Computational modeling","","2","","12","","3 Mar 2014","","","IEEE","IEEE Conferences"
"DeepFPD: Browser Fingerprinting Detection via Deep Learning With Multimodal Learning and Attention","W. Qiang; K. Ren; Y. Wu; D. Zou; H. Jin","National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Hubei Key Laboratory of Distributed System Security, Hubei Engineering Research Center on Big Data Security, School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Hubei Key Laboratory of Distributed System Security, Hubei Engineering Research Center on Big Data Security, School of Cyber Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China",IEEE Transactions on Reliability,"6 Sep 2024","2024","73","3","1516","1528","Browser fingerprinting is a stateless tracking technique that poses a significant security threat to users' privacy. However, the distinction between fingerprinting and nonfingerprinting scripts is far from well-defined, making the detection of fingerprinting scripts very challenging. Existing methods for detecting browser fingerprinting are based on heuristics or machine learning, and thus either require strictly defined rules or are not able to learn the features of fingerprinting scripts comprehensively, failing to detect a significant fraction of fingerprinting scripts. To detect browser fingerprinting more effectively, we propose a deep learning-based detection method, DeepFPD, in which multiple script modalities including tokens, abstract syntax trees, and control flow graphs are learned by using different specific neural networks to obtain lexical, syntax, and control flow information of the script code. Moreover, the attention mechanism is introduced to enhance the effectiveness of DeepFPD. The experimental results on the training dataset and test dataset constructed based on real-world scripts show that DeepFPD outperforms the state-of-the-art work with an F1-measure improvement of 8.3% and 18.7%, respectively.","1558-1721","","10.1109/TR.2024.3355233","National Natural Science Foundation of China(grant numbers:62272181); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10431413","Attention mechanism;browser fingerprinting detection;multimodal learning;tracking;web privacy","Browsers;Codes;Syntactics;Deep learning;Source coding;Neural networks;Manuals","","","","75","IEEE","9 Feb 2024","","","IEEE","IEEE Journals"
"A novel defense mechanism against web crawlers intrusion","A. Aghamohammadi; A. Eydgahi","School of Engineering Technology Eastern Michigan University, Ypsilanti, MI, U.S.A; School of Engineering Technology Eastern Michigan University, Ypsilanti, MI, U.S.A","2013 International Conference on Electronics, Computer and Computation (ICECCO)","23 Jan 2014","2013","","","269","272","Web robots also known as crawlers or spiders are used by search engines, hackers and spammers to gather information about web pages. Timely detection and prevention of unwanted crawlers increases privacy and security of websites. In this paper, a novel method to identify web crawlers is proposed to prevent unwanted crawler to access websites. This new method suggests Five-factor identification process to detect unwanted crawlers. This work provides the pretest and posttest results along with a systematic evaluation of web pages with the proposed identification technique versus web pages without the proposed identification process. The outputs of logistic regression analysis for both treatment and control groups are provided to evaluate hypotheses and to answer the research questions. An experiment is performed with repeated measures for two groups with each group containing the same web pages. The main goal of this work was to address the challenge of identifying and preventing unwanted web crawlers by proposing a novel defense mechanism with identification process.","","978-1-4799-3343-3","10.1109/ICECCO.2013.6718280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6718280","Web crawler detection;World Wide Web;Privacy;Security;Web robot detection","Crawlers;Web pages;Search engines;Internet;IP networks;Robots;Servers","","5","","17","IEEE","23 Jan 2014","","","IEEE","IEEE Conferences"
"BlogCrypt: Private Content Publishing on the Web","T. Paulik; Á. M. Földes; G. G. Gulyás","Department of Telecommunications, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary; Department of Telecommunications, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary; Department of Telecommunications, Budapest University슠of슠Technology슠and슠Economics, Budapest, Hungary","2010 Fourth International Conference on Emerging Security Information, Systems and Technologies","11 Nov 2010","2010","","","123","128","Voluntary disclosure of personal information is becoming more and more widespread with the advent of Web 2.0 services. Publishing such information constitutes new kinds of threats, such as further reinforcing already existing profiling techniques through correlation of perceived user activities to those publicly disclosed, but the most obvious of all is the intrinsic threat that malicious third parties collect and combine information we publish about ourselves. In this paper, we evaluate currently existing solutions that are destined for addressing this issue, then propose a model of our own for providing access control for a user over information she published and analyse our implementation thereof.","2162-2116","978-1-4244-7517-9","10.1109/SECURWARE.2010.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5633336","profiling;web privacy;user content;Web 2.0","Software;Social network services;Privacy;Publishing;Encryption;Databases","","3","","11","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
"Privacy Concerns of Semantic Web","A. Nematzadeh; L. Pournajaf","Amirkabir University of Technology슠, Tehran, Iran; Amirkabir University of Technology슠, Tehran, Iran",Fifth International Conference on Information Technology: New Generations (itng 2008),"18 Apr 2008","2008","","","1272","1273","In today's world, security is one of the most important quality attributes in Semantic Web. Semantic Web proposes new security requirements; therefore, previous security mechanisms provide insufficient support for an in-depth treatment of security in Semantic Web. This paper presents the mandatory role of privacy persevering method in access control model, inference and semantic data mining method and trust negotiation technique for applying in Semantic Web. We show the relation among them in order to secure Semantic Web. Privacy persevering method can prevent unauthorized access to confidential information and services further to being a hindrance for disclosure of private personal information.","","978-0-7695-3099-4","10.1109/ITNG.2008.138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4492689","Semantic Web;Privacy;Access Control;Trust","Semantic Web;Access control;Information security;Data security;Data privacy;Data mining;Protection;Information resources;Data models;Information systems","","3","","9","IEEE","18 Apr 2008","","","IEEE","IEEE Conferences"
"Web-Based Sharing of Electrocardiograms: Privacy and Access Control","S. Yuan; D. Wei; W. Xu; W. Shen","School of Computer Engineering and Science, Shanghai University, Shanghai, China; Biomedical Information Technology Laboratory, University of Aizu, Fukushima, Japan; School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China",2009 International Conference on Web Information Systems and Mining,"31 Dec 2009","2009","","","82","86","Health information exchange (HIE) across multiple organizations via the Internet is a current trend in medicine and healthcare. Protection of the sensitive data contained in health information from disclosure to unauthorized persons is challenging. In this paper, we present an access control architecture based on XACML and SAML to address privacy and security issues in our HIE application, Web-based sharing of electrocardiograms (ECGs). We also introduce a prototypical implementation of this access control architecture and a use case scenario for the experiment. It shows that the access control architecture can protect the ECGs shared among organizations from disclosure to both the individuals who have no job-related need to access them and the individuals who have been denied the privilege to access them by a patient's privacy consent.","","978-0-7695-3817-4","10.1109/WISM.2009.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368151","electrocardiogram;web;privacy;access control","Privacy;Access control;Authorization;Protection;Information security;Electrocardiography;Internet;Medical services;Prototypes;Authentication","","","","11","IEEE","31 Dec 2009","","","IEEE","IEEE Conferences"
"Tor-Quest (The Onion Router Crawler)","S. M; M. G; P. V; P. K. S; S. S. K","Department of Information Technology, Hindustan Institute of Technology and Science, Chennai, India; Department of Information Technology, Hindustan Institute of Technology and Science, Chennai, India; Department of Information Technology, Hindustan Institute of Technology and Science, Chennai, India; Department of Information Technology, Hindustan Institute of Technology and Science, Chennai, India; Department of Information Technology, Hindustan Institute of Technology and Science, Chennai, India",2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),"28 Jun 2024","2024","","","1","5","This project develops a versatile tool which is especially useful over the Tor Network, being characterized by anonymity, privacy and fast retrieval of the data from the onion domains. The method is efficient as it can perform the task of searching on the dark web using different search engines while at the same time prioritizing on user privacy. Data anonymization and the protection of privacy are achieved by the identification of network entry and exit points as well as through network reconstruction procedures that include the implementation of continuous security measures while interacting with the onion domains. The core functionality covers WHOIS information extraction for onion domains, and thus providing users with data like legitimacy and ownership for the hidden services. On the other hand, the device assists in the acquisition of screenshots as well as response headers. explain techniques onion sites, enhancing the productivity with visual displays and technical details. Moreover, the system supports directory enumeration at a high level and allows users to list and enumerate subdirectories of onion web-servers. The availability of this functionality boosts the onion domain exploration where the whole assimilation of information and the extensive data aggregation processes are simplified.","","979-8-3503-6509-2","10.1109/ICONSTEM60960.2024.10568905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10568905","TOR search;Anonymity;Dark web;privacy;secure reconnaissance","Data privacy;Visualization;Dark Web;Crawlers;Web pages;Search engines;Systems support","","","","20","IEEE","28 Jun 2024","","","IEEE","IEEE Conferences"
"Analysis of Third-Party Data Leaks on Finnish Mental Health Websites","S. Rauti; E. Vuorinen; P. Puhtila; R. Carlsson","University of Turku, Turku, Finland; University of Turku, Turku, Finland; University of Turku, Turku, Finland; University of Turku, Turku, Finland",2024 47th MIPRO ICT and Electronics Convention (MIPRO),"28 Jun 2024","2024","","","1543","1548","Mental health websites process private and sensitive personal data, and it is essential to prevent this confidential data from being compromised. However, the increasing practice of using various third-party services on modern websites poses a threat to online privacy, including online services focusing on mental well-being. We present a study on the privacy of 10 Finnish mental health websites and conduct a network traffic analysis to see whether these online services inadvertently share sensitive data with third-party entities. Our findings indicate all of the studied websites leak sensitive contextual data (such as the visited URLs) to third parties. The current paper analyzes the characteristics of these data leaks, and gives suggestions to avoid such privacy concerns in future.","2623-8764","979-8-3503-8250-1","10.1109/MIPRO60963.2024.10569215","Academy of Finland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569215","mental health websites;data leaks;data concerning health;web privacy;third-party services","Privacy;Medical conditions;Focusing;Data protection;Mental health;Telecommunication traffic;Data collection","","","","20","IEEE","28 Jun 2024","","","IEEE","IEEE Conferences"
"Survey of existing fingerprint countermeasures","S. Luangmaneerote; E. Zaluska; L. Carr","Electronic and Computer Science University of Southampton, Southampton, UK; Electronic and Computer Science University of Southampton, Southampton, UK; Electronic and Computer Science University of Southampton, Southampton, UK",2016 International Conference on Information Society (i-Society),"16 Feb 2017","2016","","","137","141","A number of fingerprint countermeasures have claimed that their countermeasures can prevent the user away from fingerprint tracking. The research attempts to prove their claims and requires to study the effectiveness of their fingerprint prevention and observe the results of side effects after defence in order to assist the attentive user to know the limitation of current approaches. Under investigation, all countermeasures will be installed on the web browser and visit the developed hybrid fingerprint website in order to know the efficiency of the fingerprint resistance of all types. The research shows that all fingerprint countermeasures nowadays are unable to obstruct all kinds of the fingerprint tracking and countermeasures that use the blocking technique appear more side effects to the web browser than other techniques. Also, the increasing number of fingerprint attributes are increasing cause of unusual combination inside the Internet browser.","","978-1-9083-2061-2","10.1109/i-Society.2016.7854198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7854198","Browser Fingerprinting;Privacy;Web Tracking;Fingerprint Countermeasure;Hybrid Fingerprint","Fingerprint recognition;Browsers;Internet;Web pages;Electronic countermeasures;Rendering (computer graphics);Entropy","","3","","24","","16 Feb 2017","","","IEEE","IEEE Conferences"
